"","Neighbourhood","Accommodates","Bathrooms","Bedrooms","Beds","Price","Square.Feet","Guests.Included","Extra.People","Review.Scores.Rating","Latitude","Longitude"
"1","Embajadores",2,1,1,2,50,NA,1,20,93,40.4112633727181,-3.69730543737129
"2","Embajadores",5,1,2,4,95,NA,4,0,97,40.4125562566508,-3.70115536479942
"3","La Latina",4,1,1,2,69,NA,2,18,91,40.4079077526305,-3.70509539544163
"4","Embajadores",4,1,1,2,57,NA,2,8,98,40.4116221344272,-3.70328105440427
"5","La Latina",2,1,1,1,59,NA,1,0,95,40.4073388717669,-3.70701922020474
"6","La Latina",14,2,3,14,120,NA,2,18,92,40.4090849589356,-3.70474447360407
"7","La Latina",2,1,1,1,89,NA,1,10,98,40.4100742405901,-3.71062368921898
"8","Palacio",5,3,3,3,192,NA,2,12,80,40.4201743859689,-3.7126287451007
"9","La Latina",4,1,1,1,100,NA,2,12,NA,40.4098980543166,-3.71094797097395
"10","Palacio",5,2,2,2,100,NA,2,15,95,40.4215557414176,-3.70984798015469
"11","La Latina",4,2,2,3,160,NA,1,0,93,40.4117262829596,-3.7126621848665
"12","Palacio",4,1,1,2,80,NA,2,0,88,40.4209921616193,-3.7104019678615
"13","Palacio",3,1,1,1,68,NA,2,5,83,40.4120284754107,-3.71577879541761
"14","Palacio",6,1,2,2,80,NA,4,25,95,40.4151246756073,-3.71029380059551
"15","Embajadores",3,1,1,1,50,NA,2,20,89,40.4120477890097,-3.70102152329749
"16","Embajadores",3,1,2,2,50,NA,1,10,93,40.4058143726412,-3.70025154460172
"17","La Latina",3,1,1,2,75,NA,2,12,100,40.4108669774936,-3.70696666517307
"18","Embajadores",5,1,1,3,75,NA,2,15,95,40.4117996554278,-3.70394330234265
"19","La Latina",3,1,1,2,55,NA,2,8,NA,40.4089340600732,-3.70497933127972
"20","Embajadores",3,1,0,2,65,NA,2,15,100,40.4126810920418,-3.70124736130644
"21","Palacio",4,1,1,3,60,NA,2,15,75,40.4214080985995,-3.70764993810137
"22","La Latina",6,2,2,2,72,592,2,20,90,40.4120574508639,-3.70914899306312
"23","Palacio",2,1,0,1,60,NA,1,0,82,40.4162755600845,-3.71018918835831
"24","Palacio",4,1,1,2,98,NA,2,20,88,40.4196800628157,-3.71074517581638
"25","Palacio",4,1,1,2,63,NA,2,10,95,40.4224779699706,-3.71015640446283
"26","La Latina",4,1,1,2,80,NA,2,20,99,40.4132229220586,-3.71193533976014
"27","La Latina",3,1,1,2,60,NA,2,10,98,40.4124770643467,-3.70899540860627
"28","Palacio",3,1,1,1,40,NA,2,10,89,40.4110550335798,-3.71683974848641
"29","La Latina",12,2,5,8,300,NA,7,20,93,40.41242019704,-3.70787344990483
"30","La Latina",2,1,1,1,65,NA,1,0,100,40.4096075025369,-3.71064857850773
"31","Embajadores",4,1,1,2,35,NA,1,0,80,40.4097993460848,-3.70068121093753
"32","Embajadores",10,1,3,5,245,NA,1,0,NA,40.4118744602771,-3.70130863124113
"33","Embajadores",8,2,4,6,120,NA,4,15,93,40.4087232151542,-3.69236201914807
"34","Embajadores",3,1,1,2,40,NA,1,12,91,40.4117761120686,-3.70489861426865
"35","La Latina",4,1,2,3,65,NA,1,0,92,40.4063537097326,-3.70399142946304
"36","Embajadores",2,1,1,1,29,NA,1,0,75,40.4101953795046,-3.7017014543497
"37","Embajadores",2,1,0,1,49,NA,1,0,88,40.4101036843326,-3.70240795163361
"38","La Latina",3,1,1,1,48,NA,2,12,87,40.4084261111063,-3.70626718262845
